epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.42213085593397803,0.8070384615384616,0.3095222101670045,0.8655384615384616
2,0.3174117743682403,0.8643846153846154,0.21178654214969048,0.9101538461538462
3,0.26490118211651076,0.8900769230769231,0.1946942561629873,0.9276923076923077
4,0.22692022973614243,0.9088076923076923,0.16607578080720625,0.9304615384615385
5,0.19622267377964006,0.9213846153846154,0.15264673950408514,0.9436923076923077
