epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,0.1871025068932269,0.9251506024096385,0.14100358963012696,0.9424691358024692,2e-05
2,0.14421472045312445,0.9428614457831326,0.15873055458068847,0.9333333333333333,2e-05
3,0.12313132556088,0.9523795180722892,0.1796411445994436,0.928641975308642,1e-05
